level,lam,A,M_fwd,M_bwd
1,0.1,-0.04467937514062513,0.02360575247001284,0.06828512761063797
1,0.05,-0.021204769617612005,0.030922696568531725,0.05212746618614373
1,0.02,-0.007970575683605916,0.03636076944937149,0.04433134513297741
1,0.01,-0.003622707427073109,0.038378232276322616,0.042000939703395725
1,0.005,-0.0014535266472139527,0.039428560167672363,0.040882086814886316
1,0.0,0.0007145944473459509,0.040507633225589604,0.03979303877824365
2b,0.1,-0.05805857848107034,0.01022654912956763,0.06828512761063797
2b,0.05,-0.03873105037273035,0.013396415813413384,0.05212746618614373
2b,0.02,-0.028579032401779943,0.015752312731197465,0.04433134513297741
2b,0.01,-0.025374616167285306,0.01662632353611042,0.042000939703395725
2b,0.005,-0.02380073733555766,0.017081349479328656,0.040882086814886316
2b,0.0,-0.02224421029543052,0.017548828482813132,0.03979303877824365
