N,DW,tau_min,tau_max,n_pts,p_freep_2a,p_ci95_2a,p_freep_2b,p_ci95_2b
8,0.4,0.5,4.0,70,0.5216779913086349,0.3353873000462035,4.259781817958033,0.09086760852851988
8,0.4,1.0,4.0,60,0.09561064156648538,0.5625189956518349,4.246025572694589,0.1096594388119909
8,0.4,0.5,3.0,50,1.648983687924159,0.1234854763401545,4.339964000018126,0.1536242319711523
8,0.6,0.5,4.0,70,0.6831510747656421,0.3111738719183112,4.395978684838944,0.09565039381374826
8,0.6,1.0,4.0,60,0.09866268655360773,0.47447204858324254,4.377543879843958,0.1144051915705693
8,0.6,0.5,3.0,50,1.8306091960604525,0.13481481341180498,4.529555121059928,0.1641684021136368
8,0.8,0.5,4.0,70,0.8770918678656008,0.284295807284283,4.5408814865666365,0.10101720915953766
8,0.8,1.0,4.0,60,0.15168283455284792,0.39643659806868015,4.518071304558838,0.11974968749317452
8,0.8,0.5,3.0,50,2.0411673413390017,0.14280913832029293,4.735970158079014,0.1763126311617149
