Observable,N,Num,Teo,Tol,Desviación,Veredicto
Norma ||psi|| (Tr(rho)),1,1.0,1.0,1e-06,0.0,PASA
Pureza Global Tr(rho^2),1,0.9999999999999996,1.0,1e-06,4.440892098500626e-16,PASA
Entropía Global S_vN,1,1.4980710692031277e-13,0.0,1e-06,1.4980710692031277e-13,PASA
Tasa Prod. Entropía dS/dt,1,0.0,0.0,1e-05,0.0,PASA
Fidelidad Reversibilidad T,1,0.9999999999999997,1.0,1e-05,3.3306690738754696e-16,PASA
Tiempo de Recurrencia T_rec,1,2.9126826361171703,3.141592653589793,0.05,0.22891001747262285,FALLA
Norma ||psi|| (Tr(rho)),2,1.0,1.0,1e-06,0.0,PASA
Pureza Global Tr(rho^2),2,0.9999999999999996,1.0,1e-06,4.440892098500626e-16,PASA
Entropía Global S_vN,2,3.4912279261355454e-13,0.0,1e-06,3.4912279261355454e-13,PASA
Tasa Prod. Entropía dS/dt,2,0.0,0.0,1e-05,0.0,PASA
Fidelidad Reversibilidad T,2,0.9999999999999997,1.0,1e-05,3.3306690738754696e-16,PASA
Tiempo de Recurrencia T_rec,2,2.9126826361171703,3.141592653589793,0.05,0.22891001747262285,FALLA
Norma ||psi|| (Tr(rho)),3,1.0,1.0,1e-06,0.0,PASA
Pureza Global Tr(rho^2),3,0.9999999999999996,1.0,1e-06,4.440892098500626e-16,PASA
Entropía Global S_vN,3,7.47754164000038e-13,0.0,1e-06,7.47754164000038e-13,PASA
Tasa Prod. Entropía dS/dt,3,0.0,0.0,1e-05,0.0,PASA
Fidelidad Reversibilidad T,3,0.9999999999999997,1.0,1e-05,3.3306690738754696e-16,PASA
Tiempo de Recurrencia T_rec,3,2.9126826361171703,3.141592653589793,0.05,0.22891001747262285,FALLA
